Nº,Año plan,Mes num,Mes,Tema mensual,Semana del año,Semana plan,Día,Fecha,Formato,Pilar,Subtema,Objetivo,Nivel embudo,Tipo contenido,Gancho,Idea central,CTA,Estado,Notas
302,1,5,Mayo,Rentabilidad y foco,18,44,Lunes,2027-05-03,Reel,Marketing,Captación,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Captación impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
303,1,5,Mayo,Rentabilidad y foco,18,44,Martes,2027-05-04,Carrusel,Fiscalidad,Deducciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Deducciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
304,1,5,Mayo,Rentabilidad y foco,18,44,Miércoles,2027-05-05,Post,Mentalidad,Consistencia,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Consistencia aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
305,1,5,Mayo,Rentabilidad y foco,18,44,Jueves,2027-05-06,Reel,Storytelling,Observación empresarial,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Observación empresarial para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
306,1,5,Mayo,Rentabilidad y foco,18,44,Viernes,2027-05-07,Carrusel,IA,Investigación,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Investigación para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
307,1,5,Mayo,Rentabilidad y foco,18,44,Sábado,2027-05-08,Post,Marca personal,Naturaleza,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Naturaleza conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
308,1,5,Mayo,Rentabilidad y foco,18,44,Domingo,2027-05-09,Reel,Venta,Diferenciación,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar Diferenciación como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
309,1,5,Mayo,Rentabilidad y foco,19,45,Lunes,2027-05-10,Reel,Marketing,Mensaje,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Mensaje impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
310,1,5,Mayo,Rentabilidad y foco,19,45,Martes,2027-05-11,Carrusel,Fiscalidad,Ahorro legal,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Ahorro legal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
311,1,5,Mayo,Rentabilidad y foco,19,45,Miércoles,2027-05-12,Post,Mentalidad,Claridad,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Claridad aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
312,1,5,Mayo,Rentabilidad y foco,19,45,Jueves,2027-05-13,Reel,Storytelling,Experiencia propia,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Experiencia propia para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
313,1,5,Mayo,Rentabilidad y foco,19,45,Viernes,2027-05-14,Carrusel,IA,ChatGPT,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar ChatGPT para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
314,1,5,Mayo,Rentabilidad y foco,19,45,Sábado,2027-05-15,Post,Marca personal,Valores,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Valores conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
315,1,5,Mayo,Rentabilidad y foco,19,45,Domingo,2027-05-16,Reel,Venta,Prueba,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Prueba como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
316,1,5,Mayo,Rentabilidad y foco,20,46,Lunes,2027-05-17,Reel,Marketing,Contenido,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Contenido impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
317,1,5,Mayo,Rentabilidad y foco,20,46,Martes,2027-05-18,Carrusel,Fiscalidad,Autónomos,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Autónomos en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
318,1,5,Mayo,Rentabilidad y foco,20,46,Miércoles,2027-05-19,Post,Mentalidad,Paciencia,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Paciencia aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
319,1,5,Mayo,Rentabilidad y foco,20,46,Jueves,2027-05-20,Reel,Storytelling,Decisión difícil,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Decisión difícil para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
320,1,5,Mayo,Rentabilidad y foco,20,46,Viernes,2027-05-21,Carrusel,IA,Email,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Email para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
321,1,5,Mayo,Rentabilidad y foco,20,46,Sábado,2027-05-22,Post,Marca personal,Behind the scenes,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Behind the scenes conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
322,1,5,Mayo,Rentabilidad y foco,20,46,Domingo,2027-05-23,Reel,Venta,Consultoría,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Consultoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
323,1,5,Mayo,Rentabilidad y foco,21,47,Lunes,2027-05-24,Reel,Marketing,Autoridad,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Autoridad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
324,1,5,Mayo,Rentabilidad y foco,21,47,Martes,2027-05-25,Carrusel,Fiscalidad,Planificación fiscal,Autoridad,Consideración,Educativo/Error común,Tener ingresos no significa estar bien gestionado,"Desglosar Planificación fiscal en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
325,1,5,Mayo,Rentabilidad y foco,21,47,Miércoles,2027-05-26,Post,Mentalidad,Disciplina,Conexión,Conexión,Reflexión/Hábito,Emprender sin disciplina sale caro,Reflexión práctica sobre Disciplina aplicada a empresarios que quieren crecer sin caos.,¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
326,1,5,Mayo,Rentabilidad y foco,21,47,Jueves,2027-05-27,Reel,Storytelling,Aprendizaje real,Conexión,Consideración,Caso real/Historia,He visto empresas buenas desaparecer por esto,"Contar una historia sobre Aprendizaje real para mostrar que visibilidad, números y criterio van juntos.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
327,1,5,Mayo,Rentabilidad y foco,21,47,Viernes,2027-05-28,Carrusel,IA,Prompts,Autoridad,Consideración,Tutorial/Herramienta,Así ahorro tiempo sin perder calidad,"Mostrar cómo aplicar Prompts para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
328,1,5,Mayo,Rentabilidad y foco,21,47,Sábado,2027-05-29,Post,Marca personal,Reflexión,Conexión,Afinidad,Personal/Observación,Detrás del negocio también hay una forma de mirar la vida,"Compartir una pieza humana sobre Reflexión conectándola con negocios, identidad y visión.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
329,1,5,Mayo,Rentabilidad y foco,21,47,Domingo,2027-05-30,Reel,Venta,Problema,Venta,Conversión,Objeción/CTA,Lo que te cuesta dinero no siempre se ve a simple vista,"Presentar Problema como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Hablemos,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
330,1,5,Mayo,Rentabilidad y foco,22,48,Lunes,2027-05-31,Reel,Marketing,Embudo,Viral,Descubrimiento,Opinión/Contracorriente,Muchos negocios confunden contenido con estrategia,"Explicar cómo Embudo impacta en la captación, la percepción de marca y las ventas de un negocio real.",Mándaselo a alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
331,1,6,Junio,Productividad y sistemas,22,48,Martes,2027-06-01,Carrusel,Fiscalidad,Gastos deducibles,Autoridad,Consideración,Educativo/Error común,3 errores fiscales que te hacen perder dinero,"Desglosar Gastos deducibles en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
332,1,6,Junio,Productividad y sistemas,22,48,Miércoles,2027-06-02,Post,Mentalidad,Orden,Conexión,Conexión,Reflexión/Hábito,La motivación no sostiene un negocio,Reflexión práctica sobre Orden aplicada a empresarios que quieren crecer sin caos.,Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
333,1,6,Junio,Productividad y sistemas,22,48,Jueves,2027-06-03,Reel,Storytelling,Momento de claridad,Conexión,Consideración,Caso real/Historia,Un cliente estuvo a punto de cerrar y el problema no era el impuesto,"Contar una historia sobre Momento de claridad para mostrar que visibilidad, números y criterio van juntos.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
334,1,6,Junio,Productividad y sistemas,22,48,Viernes,2027-06-04,Carrusel,IA,Productividad,Autoridad,Consideración,Tutorial/Herramienta,La mayoría usa ChatGPT mal por este motivo,"Mostrar cómo aplicar Productividad para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
335,1,6,Junio,Productividad y sistemas,22,48,Sábado,2027-06-05,Post,Marca personal,Visión,Conexión,Afinidad,Personal/Observación,No todo lo importante cabe en un KPI,"Compartir una pieza humana sobre Visión conectándola con negocios, identidad y visión.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
336,1,6,Junio,Productividad y sistemas,22,48,Domingo,2027-06-06,Reel,Venta,Decisión,Venta,Conversión,Objeción/CTA,Seguir igual también tiene un precio,"Presentar Decisión como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Pide información,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
337,1,6,Junio,Productividad y sistemas,23,49,Lunes,2027-06-07,Reel,Marketing,Visibilidad,Viral,Descubrimiento,Opinión/Contracorriente,No necesitas más seguidores,"Explicar cómo Visibilidad impacta en la captación, la percepción de marca y las ventas de un negocio real.",Guárdalo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
338,1,6,Junio,Productividad y sistemas,23,49,Martes,2027-06-08,Carrusel,Fiscalidad,IRPF,Autoridad,Consideración,Educativo/Error común,Lo que Hacienda no te perdona aunque factures poco,"Desglosar IRPF en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
339,1,6,Junio,Productividad y sistemas,23,49,Miércoles,2027-06-09,Post,Mentalidad,Enfoque,Conexión,Conexión,Reflexión/Hábito,Tus hábitos también aparecen en tu facturación,Reflexión práctica sobre Enfoque aplicada a empresarios que quieren crecer sin caos.,Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
340,1,6,Junio,Productividad y sistemas,23,49,Jueves,2027-06-10,Reel,Storytelling,Error vivido,Conexión,Consideración,Caso real/Historia,Esta historia explica por qué vender no basta,"Contar una historia sobre Error vivido para mostrar que visibilidad, números y criterio van juntos.",Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
341,1,6,Junio,Productividad y sistemas,23,49,Viernes,2027-06-11,Carrusel,IA,Organización,Autoridad,Consideración,Tutorial/Herramienta,Automatizar no es deshumanizar,"Mostrar cómo aplicar Organización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
342,1,6,Junio,Productividad y sistemas,23,49,Sábado,2027-06-12,Post,Marca personal,Libros,Conexión,Afinidad,Personal/Observación,La autoridad también se siente antes de demostrarse,"Compartir una pieza humana sobre Libros conectándola con negocios, identidad y visión.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
343,1,6,Junio,Productividad y sistemas,23,49,Domingo,2027-06-13,Reel,Venta,Urgencia,Venta,Conversión,Objeción/CTA,"Si tu negocio factura pero no crece, mira esto","Presentar Urgencia como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escríbeme NEGOCIO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
344,1,6,Junio,Productividad y sistemas,24,50,Lunes,2027-06-14,Reel,Marketing,Oferta,Viral,Descubrimiento,Opinión/Contracorriente,Publicar más no arregla un mensaje débil,"Explicar cómo Oferta impacta en la captación, la percepción de marca y las ventas de un negocio real.",Compártelo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
345,1,6,Junio,Productividad y sistemas,24,50,Martes,2027-06-15,Carrusel,Fiscalidad,Obligaciones,Autoridad,Consideración,Educativo/Error común,Muchos pagan más impuestos por no entender esto,"Desglosar Obligaciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Escribe INFO,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
346,1,6,Junio,Productividad y sistemas,24,50,Miércoles,2027-06-16,Post,Mentalidad,Responsabilidad,Conexión,Conexión,Reflexión/Hábito,Querer crecer sin enfoque es agotador,Reflexión práctica sobre Responsabilidad aplicada a empresarios que quieren crecer sin caos.,Guárdalo para recordarlo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
347,1,6,Junio,Productividad y sistemas,24,50,Jueves,2027-06-17,Reel,Storytelling,Conversación real,Conexión,Consideración,Caso real/Historia,Lo que aprendí viendo negocios desde dentro,"Contar una historia sobre Conversación real para mostrar que visibilidad, números y criterio van juntos.",Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
348,1,6,Junio,Productividad y sistemas,24,50,Viernes,2027-06-18,Carrusel,IA,Asistentes IA,Autoridad,Consideración,Tutorial/Herramienta,La IA sirve más cuando tu negocio ya tiene orden,"Mostrar cómo aplicar Asistentes IA para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Aplícalo esta semana,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
349,1,6,Junio,Productividad y sistemas,24,50,Sábado,2027-06-19,Post,Marca personal,Tu historia,Conexión,Afinidad,Personal/Observación,"No construyes marca cuando finges, la construyes cuando sostienes","Compartir una pieza humana sobre Tu historia conectándola con negocios, identidad y visión.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
350,1,6,Junio,Productividad y sistemas,24,50,Domingo,2027-06-20,Reel,Venta,CTA,Venta,Conversión,Objeción/CTA,"No siempre necesitas más clientes, necesitas mejores decisiones","Presentar CTA como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Envíame MENSAJE,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
351,1,6,Junio,Productividad y sistemas,25,51,Lunes,2027-06-21,Reel,Marketing,Posicionamiento,Viral,Descubrimiento,Opinión/Contracorriente,"Tu negocio no necesita hacerse viral, necesita ser recordado","Explicar cómo Posicionamiento impacta en la captación, la percepción de marca y las ventas de un negocio real.",Sígueme para más,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
352,1,6,Junio,Productividad y sistemas,25,51,Martes,2027-06-22,Carrusel,Fiscalidad,Errores fiscales,Autoridad,Consideración,Educativo/Error común,Este fallo fiscal es más común de lo que parece,"Desglosar Errores fiscales en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Toma nota,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
353,1,6,Junio,Productividad y sistemas,25,51,Miércoles,2027-06-23,Post,Mentalidad,Resiliencia,Conexión,Conexión,Reflexión/Hábito,No todo cansancio viene de trabajar mucho,Reflexión práctica sobre Resiliencia aplicada a empresarios que quieren crecer sin caos.,Compártelo con alguien,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
354,1,6,Junio,Productividad y sistemas,25,51,Jueves,2027-06-24,Reel,Storytelling,Cambio de visión,Conexión,Consideración,Caso real/Historia,"A veces el error no está en el trabajo, sino en la estrategia","Contar una historia sobre Cambio de visión para mostrar que visibilidad, números y criterio van juntos.",¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
355,1,6,Junio,Productividad y sistemas,25,51,Viernes,2027-06-25,Carrusel,IA,Ideas de contenido,Autoridad,Consideración,Tutorial/Herramienta,5 formas de usar IA en un negocio real,"Mostrar cómo aplicar Ideas de contenido para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Guarda esta guía,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
356,1,6,Junio,Productividad y sistemas,25,51,Sábado,2027-06-26,Post,Marca personal,Universo,Conexión,Afinidad,Personal/Observación,"Tu historia también vende, si sabes contarla","Compartir una pieza humana sobre Universo conectándola con negocios, identidad y visión.",Te leo en comentarios,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
357,1,6,Junio,Productividad y sistemas,25,51,Domingo,2027-06-27,Reel,Venta,Mentoría,Venta,Conversión,Objeción/CTA,"El problema no es vender, es lo que pasa antes y después","Presentar Mentoría como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Reserva consultoría,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
358,1,6,Junio,Productividad y sistemas,26,52,Lunes,2027-06-28,Reel,Marketing,Conversión,Viral,Descubrimiento,Opinión/Contracorriente,"El problema no es Instagram, es tu posicionamiento","Explicar cómo Conversión impacta en la captación, la percepción de marca y las ventas de un negocio real.",¿Te pasa?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
359,1,6,Junio,Productividad y sistemas,26,52,Martes,2027-06-29,Carrusel,Fiscalidad,Inspecciones,Autoridad,Consideración,Educativo/Error común,"No todo gasto es deducible, y aquí empieza el problema","Desglosar Inspecciones en lenguaje simple, mostrando errores frecuentes, coste oculto y decisión correcta.",Revísalo hoy,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
360,1,6,Junio,Productividad y sistemas,26,52,Miércoles,2027-06-30,Post,Mentalidad,Límites,Conexión,Conexión,Reflexión/Hábito,La claridad también es una ventaja competitiva,Reflexión práctica sobre Límites aplicada a empresarios que quieren crecer sin caos.,¿Lo has vivido?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
361,1,7,Julio,Captación y posicionamiento,26,52,Jueves,2027-07-01,Reel,Storytelling,Caso cliente,Conexión,Consideración,Caso real/Historia,"Un negocio podía crecer, pero nadie sabía que existía","Contar una historia sobre Caso cliente para mostrar que visibilidad, números y criterio van juntos.",¿Te identificas?,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
362,1,7,Julio,Captación y posicionamiento,26,52,Viernes,2027-07-02,Carrusel,IA,Automatización,Autoridad,Consideración,Tutorial/Herramienta,"La IA no sustituye tu criterio, lo amplifica","Mostrar cómo aplicar Automatización para ahorrar tiempo, ordenar procesos y tomar mejores decisiones.",Compártelo con tu equipo,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
363,1,7,Julio,Captación y posicionamiento,26,52,Sábado,2027-07-03,Post,Marca personal,Rutina,Conexión,Afinidad,Personal/Observación,La coherencia da más confianza que la perfección,"Compartir una pieza humana sobre Rutina conectándola con negocios, identidad y visión.",Cuéntame tu experiencia,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
364,1,7,Julio,Captación y posicionamiento,26,52,Domingo,2027-07-04,Reel,Venta,Oferta,Venta,Conversión,Objeción/CTA,Tu servicio puede ser bueno y aun así no venderse solo,"Presentar Oferta como punto de fricción; explicar problema, consecuencia y cómo lo resuelves con tu enfoque.",Escribe CRECER,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
365,1,7,Julio,Captación y posicionamiento,27,53,Lunes,2027-07-05,Reel,Marketing,Leads,Viral,Descubrimiento,Opinión/Contracorriente,"Si te ven pero no te escriben, esto está fallando","Explicar cómo Leads impacta en la captación, la percepción de marca y las ventas de un negocio real.",Déjame tu opinión,Pendiente,Posicionamiento: fiscalidad + marketing + IA + crecimiento empresarial
