Nº,Fecha,Día,Semana plan,Mes,Pilar,Tema del día,Formato,Guion/Estructura adaptada,Caption,Hashtags,CTA,Estado
56,2026-08-30,Domingo,8,Agosto,Venta,"Diferenciación — No siempre necesitas más clientes, necesitas mejores decisiones",Reel,"Gancho (0-2s): ""No siempre necesitas más clientes, necesitas mejores decisiones"". Desarrollo (3-15s): Explica cómo diferenciación afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","No siempre necesitas más clientes, necesitas mejores decisiones. Si tu negocio tiene relación con diferenciación, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
57,2026-08-31,Lunes,9,Agosto,Marketing,"Mensaje — Tu negocio no necesita hacerse viral, necesita ser recordado",Reel,"Gancho (0-2s): ""Tu negocio no necesita hacerse viral, necesita ser recordado"". Desarrollo (3-15s): Explica cómo mensaje afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Tu negocio no necesita hacerse viral, necesita ser recordado. Todo empieza por mensaje bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
58,2026-09-01,Martes,9,Septiembre,Fiscalidad,Ahorro legal — Este fallo fiscal es más común de lo que parece,Carrusel,"Portada: ""Este fallo fiscal es más común de lo que parece"". Slides 2-6: desarrollar ahorro legal en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Este fallo fiscal es más común de lo que parece. Esto pasa constantemente con ahorro legal, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
59,2026-09-02,Miércoles,9,Septiembre,Mentalidad,Claridad — No todo cansancio viene de trabajar mucho,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre claridad, conectando la idea con tu experiencia real y tu visión de negocio.","No todo cansancio viene de trabajar mucho. Claridad no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Guárdalo para recordarlo cuando lo necesites.,Pendiente
60,2026-09-03,Jueves,9,Septiembre,Storytelling,"Experiencia propia — A veces el error no está en el trabajo, sino en la estrategia",Reel,"Gancho (0-2s): ""A veces el error no está en el trabajo, sino en la estrategia"". Desarrollo (3-15s): Explica cómo experiencia propia afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","A veces el error no está en el trabajo, sino en la estrategia. Esta historia sobre experiencia propia me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Guarda esta historia para releerla.,Pendiente
61,2026-09-04,Viernes,9,Septiembre,IA,ChatGPT — 5 formas de usar IA en un negocio real,Carrusel,"Portada: ""5 formas de usar IA en un negocio real"". Slides 2-6: desarrollar chatgpt en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",5 formas de usar IA en un negocio real. Así uso chatgpt para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Guarda esta guía y aplícala esta semana.,Pendiente
62,2026-09-05,Sábado,9,Septiembre,Marca personal,"Valores — Tu historia también vende, si sabes contarla",Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre valores, conectando la idea con tu experiencia real y tu visión de negocio.","Tu historia también vende, si sabes contarla. Hoy quiero hablarte de valores, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Comparte si te sientes identificado/a.,Pendiente
63,2026-09-06,Domingo,9,Septiembre,Venta,"Prueba — El problema no es vender, es lo que pasa antes y después",Reel,"Gancho (0-2s): ""El problema no es vender, es lo que pasa antes y después"". Desarrollo (3-15s): Explica cómo prueba afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","El problema no es vender, es lo que pasa antes y después. Si tu negocio tiene relación con prueba, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Envíame un mensaje y lo vemos juntas.,Pendiente
64,2026-09-07,Lunes,10,Septiembre,Marketing,"Contenido — El problema no es Instagram, es tu posicionamiento",Reel,"Gancho (0-2s): ""El problema no es Instagram, es tu posicionamiento"". Desarrollo (3-15s): Explica cómo contenido afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. El problema no es Instagram, es tu posicionamiento. Todo empieza por contenido bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Guárdalo y compártelo con alguien que necesite verlo.,Pendiente
65,2026-09-08,Martes,10,Septiembre,Fiscalidad,"Autónomos — No todo gasto es deducible, y aquí empieza el problema",Carrusel,"Portada: ""No todo gasto es deducible, y aquí empieza el problema"". Slides 2-6: desarrollar autónomos en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","No todo gasto es deducible, y aquí empieza el problema. Esto pasa constantemente con autónomos, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Escribe INFO si quieres revisar tu caso.,Pendiente
66,2026-09-09,Miércoles,10,Septiembre,Mentalidad,Paciencia — La claridad también es una ventaja competitiva,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre paciencia, conectando la idea con tu experiencia real y tu visión de negocio.","La claridad también es una ventaja competitiva. Paciencia no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,¿Te identificas? Dímelo abajo.,Pendiente
67,2026-09-10,Jueves,10,Septiembre,Storytelling,"Decisión difícil — Un negocio podía crecer, pero nadie sabía que existía",Reel,"Gancho (0-2s): ""Un negocio podía crecer, pero nadie sabía que existía"". Desarrollo (3-15s): Explica cómo decisión difícil afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Un negocio podía crecer, pero nadie sabía que existía. Esta historia sobre decisión difícil me recuerda por qué insisto tanto en mirar el negocio completo.",#historiasdenegocio #experienciaempresarial #aprendizajereal,Cuéntame si te ha pasado algo similar.,Pendiente
68,2026-09-11,Viernes,10,Septiembre,IA,"Email — La IA no sustituye tu criterio, lo amplifica",Carrusel,"Portada: ""La IA no sustituye tu criterio, lo amplifica"". Slides 2-6: desarrollar email en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","La IA no sustituye tu criterio, lo amplifica. Así uso email para ganar tiempo sin perder criterio.",#inteligenciaartificial #productividad #automatizacion,Escribe IA si quieres la plantilla que uso.,Pendiente
69,2026-09-12,Sábado,10,Septiembre,Marca personal,Behind the scenes — La coherencia da más confianza que la perfección,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre behind the scenes, conectando la idea con tu experiencia real y tu visión de negocio.","La coherencia da más confianza que la perfección. Hoy quiero hablarte de behind the scenes, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Guarda esta reflexión.,Pendiente
70,2026-09-13,Domingo,10,Septiembre,Venta,Consultoría — Tu servicio puede ser bueno y aun así no venderse solo,Reel,"Gancho (0-2s): ""Tu servicio puede ser bueno y aun así no venderse solo"". Desarrollo (3-15s): Explica cómo consultoría afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Tu servicio puede ser bueno y aun así no venderse solo. Si tu negocio tiene relación con consultoría, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Escríbeme NEGOCIO y hablamos.,Pendiente
71,2026-09-14,Lunes,11,Septiembre,Marketing,"Autoridad — Si te ven pero no te escriben, esto está fallando",Reel,"Gancho (0-2s): ""Si te ven pero no te escriben, esto está fallando"". Desarrollo (3-15s): Explica cómo autoridad afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Si te ven pero no te escriben, esto está fallando. Todo empieza por autoridad bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Sígueme si quieres más sobre visibilidad.,Pendiente
72,2026-09-15,Martes,11,Septiembre,Fiscalidad,Planificación fiscal — Tener ingresos no significa estar bien gestionado,Carrusel,"Portada: ""Tener ingresos no significa estar bien gestionado"". Slides 2-6: desarrollar planificación fiscal en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","Tener ingresos no significa estar bien gestionado. Esto pasa constantemente con planificación fiscal, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Compártelo con otro autónomo.,Pendiente
73,2026-09-16,Miércoles,11,Septiembre,Mentalidad,Disciplina — Emprender sin disciplina sale caro,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre disciplina, conectando la idea con tu experiencia real y tu visión de negocio.","Emprender sin disciplina sale caro. Disciplina no es un concepto bonito, es lo que sostiene un negocio cuando las ganas fallan.",#mentalidadempresarial #disciplina #habitos,Cuéntame en comentarios qué hábito te ha cambiado más.,Pendiente
74,2026-09-17,Jueves,11,Septiembre,Storytelling,Aprendizaje real — He visto empresas buenas desaparecer por esto,Reel,"Gancho (0-2s): ""He visto empresas buenas desaparecer por esto"". Desarrollo (3-15s): Explica cómo aprendizaje real afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.",He visto empresas buenas desaparecer por esto. Esta historia sobre aprendizaje real me recuerda por qué insisto tanto en mirar el negocio completo.,#historiasdenegocio #experienciaempresarial #aprendizajereal,Comparte esto con quien lo necesite escuchar.,Pendiente
75,2026-09-18,Viernes,11,Septiembre,IA,Prompts — Así ahorro tiempo sin perder calidad,Carrusel,"Portada: ""Así ahorro tiempo sin perder calidad"". Slides 2-6: desarrollar prompts en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.",Así ahorro tiempo sin perder calidad. Así uso prompts para ganar tiempo sin perder criterio.,#inteligenciaartificial #productividad #automatizacion,Cuéntame qué herramienta usas tú.,Pendiente
76,2026-09-19,Sábado,11,Septiembre,Marca personal,Reflexión — Detrás del negocio también hay una forma de mirar la vida,Post,"Foto o imagen personal/de trabajo. Caption reflexivo sobre reflexión, conectando la idea con tu experiencia real y tu visión de negocio.","Detrás del negocio también hay una forma de mirar la vida. Hoy quiero hablarte de reflexión, porque también forma parte de cómo construyo esto.",#marcapersonal #autenticidad #reflexion,Cuéntame tu opinión en comentarios.,Pendiente
77,2026-09-20,Domingo,11,Septiembre,Venta,Problema — Lo que te cuesta dinero no siempre se ve a simple vista,Reel,"Gancho (0-2s): ""Lo que te cuesta dinero no siempre se ve a simple vista"". Desarrollo (3-15s): Explica cómo problema afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Lo que te cuesta dinero no siempre se ve a simple vista. Si tu negocio tiene relación con problema, esto te interesa.",#ventas #consultoria #crecimientoempresarial,Reserva tu consultoría esta semana.,Pendiente
78,2026-09-21,Lunes,12,Septiembre,Marketing,Embudo — Muchos negocios confunden contenido con estrategia,Reel,"Gancho (0-2s): ""Muchos negocios confunden contenido con estrategia"". Desarrollo (3-15s): Explica cómo embudo afecta directamente al crecimiento del negocio, con un ejemplo breve y concreto. Cierre (16-20s): Frase de impacto que resuma la idea y conecte con tu posicionamiento.","Llevo años viendo negocios con buen producto y poca visibilidad. Muchos negocios confunden contenido con estrategia. Todo empieza por embudo bien trabajado, no por publicar más.",#marketingparaempresarios #visibilidad #estrategiadenegocio,Cuéntame tu caso en comentarios.,Pendiente
79,2026-09-22,Martes,12,Septiembre,Fiscalidad,Gastos deducibles — 3 errores fiscales que te hacen perder dinero,Carrusel,"Portada: ""3 errores fiscales que te hacen perder dinero"". Slides 2-6: desarrollar gastos deducibles en pasos, errores o claves concretas, una idea por slide. Slide de cierre: resumen + CTA.","3 errores fiscales que te hacen perder dinero. Esto pasa constantemente con gastos deducibles, y muchos no lo detectan hasta que ya es tarde.",#fiscalidad #autonomos #ahorrolegal,Guarda este carrusel y revísalo antes de tu próxima declaración.,Pendiente
